             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.111911911912E+01      0.970684892717E+15      0.937274285506E+15      0.900498409653E+15      0.936152529292E+15
     -0.111511511512E+01      0.969931421618E+15      0.936975888912E+15      0.900732501100E+15      0.935879937210E+15
     -0.111111111111E+01      0.969083900050E+15      0.936487951396E+15      0.900708980188E+15      0.935426943878E+15
     -0.110710710711E+01      0.968116241966E+15      0.935788816636E+15      0.900412252136E+15      0.934772436912E+15
     -0.110310310310E+01      0.967004646216E+15      0.934861869877E+15      0.899827242096E+15      0.933897919396E+15
     -0.109909909910E+01      0.965726942279E+15      0.933694809233E+15      0.898939057178E+15      0.932786936230E+15
     -0.109509509510E+01      0.964261742586E+15      0.932278474887E+15      0.897733510424E+15      0.931424575966E+15
     -0.109109109109E+01      0.962587744974E+15      0.930605602360E+15      0.896198540145E+15      0.929797295826E+15
     -0.108708708709E+01      0.960683481271E+15      0.928669859903E+15      0.894326302015E+15      0.927893214396E+15
     -0.108308308308E+01      0.958527677022E+15      0.926465421355E+15      0.892115482945E+15      0.925702860440E+15
     -0.107907907908E+01      0.956100202054E+15      0.923987144165E+15      0.889573255679E+15      0.923220200633E+15
     -0.107507507508E+01      0.953383403258E+15      0.921231224758E+15      0.886716305541E+15      0.920443644519E+15
     -0.107107107107E+01      0.950363478631E+15      0.918196055665E+15      0.883570519480E+15      0.917376684592E+15
     -0.106706706707E+01      0.947031519651E+15      0.914882958738E+15      0.880169195095E+15      0.914027891161E+15
     -0.106306306306E+01      0.943383928985E+15      0.911296526655E+15      0.876549938291E+15      0.910410131311E+15
     -0.105905905906E+01      0.939422085278E+15      0.907444441304E+15      0.872750698893E+15      0.906539075159E+15
     -0.105505505506E+01      0.935151322743E+15      0.903336798320E+15      0.868805582287E+15      0.902431234450E+15
     -0.105105105105E+01      0.930579461739E+15      0.898985098474E+15      0.864741135583E+15      0.898101898598E+15
     -0.104704704705E+01      0.925715224273E+15      0.894401135450E+15      0.860573732455E+15      0.893563364059E+15
     -0.104304304304E+01      0.920566878856E+15      0.889596010187E+15      0.856308491808E+15      0.888823793617E+15
     -0.103903903904E+01      0.915141390638E+15      0.884579449345E+15      0.851939900677E+15      0.883886913553E+15
     -0.103503503504E+01      0.909444229615E+15      0.879359522732E+15      0.847454020669E+15      0.878752591005E+15
     -0.103103103103E+01      0.903479841446E+15      0.873942762251E+15      0.842831890837E+15      0.873418164845E+15
     -0.102702702703E+01      0.897252639949E+15      0.868334598117E+15      0.838053542569E+15      0.867880260212E+15
     -0.102302302302E+01      0.890768261792E+15      0.862539958861E+15      0.833101945039E+15      0.862136721897E+15
     -0.101901901902E+01      0.884034753066E+15      0.856563842272E+15      0.827966215816E+15      0.856188270385E+15
     -0.101501501502E+01      0.877063351601E+15      0.850411666995E+15      0.822643555991E+15      0.850039524862E+15
     -0.101101101101E+01      0.869868597910E+15      0.844089265696E+15      0.817139582927E+15      0.843699148844E+15
     -0.100700700701E+01      0.862467647636E+15      0.837602474909E+15      0.811467006005E+15      0.837179042850E+15
     -0.100300300300E+01      0.854878845737E+15      0.830956393554E+15      0.805642881778E+15      0.830492707023E+15
     -0.998998998999E+00      0.847119814839E+15      0.824154490139E+15      0.799684947808E+15      0.823653084262E+15
     -0.994994994995E+00      0.839205454563E+15      0.817197804485E+15      0.793607719338E+15      0.816670326129E+15
     -0.990990990991E+00      0.831146298820E+15      0.810084490091E+15      0.787419095846E+15      0.809549961586E+15
     -0.986986986987E+00      0.822947611279E+15      0.802809872855E+15      0.781118140412E+15      0.802291874849E+15
     -0.982982982983E+00      0.814609427069E+15      0.795367076682E+15      0.774694469206E+15      0.794890324319E+15
     -0.978978978979E+00      0.806127516707E+15      0.787748119831E+15      0.768129363035E+15      0.787334999858E+15
     -0.974974974975E+00      0.797495022324E+15      0.779945258841E+15      0.761398359124E+15      0.779612880096E+15
     -0.970970970971E+00      0.788704362300E+15      0.771952286793E+15      0.754474783356E+15      0.771710477483E+15
     -0.966966966967E+00      0.779748962328E+15      0.763765501384E+15      0.747333513156E+15      0.763615992289E+15
     -0.962962962963E+00      0.770624456019E+15      0.755384144579E+15      0.739954257579E+15      0.755320952726E+15
     -0.958958958959E+00      0.761329175269E+15      0.746810254776E+15      0.732323797133E+15      0.746821075726E+15
     -0.954954954955E+00      0.751863961393E+15      0.738048023719E+15      0.724436893118E+15      0.738116292743E+15
     -0.950950950951E+00      0.742231507869E+15      0.729102870250E+15      0.716295881959E+15      0.729210086693E+15
