  #energy          xx             yy              zz              xy              yz              zx
  0.28033000E+01  0.37269799E+01  0.37269799E+01  0.37269799E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28170000E+01  0.37418477E+01  0.37418477E+01  0.37418477E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28308000E+01  0.37585224E+01  0.37585224E+01  0.37585224E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28445000E+01  0.37763643E+01  0.37763643E+01  0.37763643E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28582000E+01  0.37962593E+01  0.37962593E+01  0.37962593E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28720000E+01  0.38189725E+01  0.38189725E+01  0.38189725E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28857000E+01  0.38431456E+01  0.38431456E+01  0.38431456E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28995000E+01  0.38694538E+01  0.38694538E+01  0.38694538E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29132000E+01  0.38961513E+01  0.38961513E+01  0.38961513E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29270000E+01  0.39236553E+01  0.39236553E+01  0.39236553E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29407000E+01  0.39498218E+01  0.39498218E+01  0.39498218E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29545000E+01  0.39749247E+01  0.39749247E+01  0.39749247E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29682000E+01  0.39965618E+01  0.39965618E+01  0.39965618E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29820000E+01  0.40149586E+01  0.40149586E+01  0.40149586E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29957000E+01  0.40275815E+01  0.40275815E+01  0.40275815E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30095000E+01  0.40347329E+01  0.40347329E+01  0.40347329E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30232000E+01  0.40339541E+01  0.40339541E+01  0.40339541E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30370000E+01  0.40258617E+01  0.40258617E+01  0.40258617E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30507000E+01  0.40080381E+01  0.40080381E+01  0.40080381E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30644000E+01  0.39815665E+01  0.39815665E+01  0.39815665E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30782000E+01  0.39481224E+01  0.39481224E+01  0.39481224E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30919000E+01  0.39069503E+01  0.39069503E+01  0.39069503E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31057000E+01  0.38616178E+01  0.38616178E+01  0.38616178E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31194000E+01  0.38128742E+01  0.38128742E+01  0.38128742E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31332000E+01  0.37653286E+01  0.37653286E+01  0.37653286E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31469000E+01  0.37197292E+01  0.37197292E+01  0.37197292E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31607000E+01  0.36802628E+01  0.36802628E+01  0.36802628E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31744000E+01  0.36461279E+01  0.36461279E+01  0.36461279E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31882000E+01  0.36199618E+01  0.36199618E+01  0.36199618E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32019000E+01  0.35989943E+01  0.35989943E+01  0.35989943E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32157000E+01  0.35846395E+01  0.35846395E+01  0.35846395E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32294000E+01  0.35732081E+01  0.35732081E+01  0.35732081E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32432000E+01  0.35660495E+01  0.35660495E+01  0.35660495E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32569000E+01  0.35592742E+01  0.35592742E+01  0.35592742E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32706000E+01  0.35539747E+01  0.35539747E+01  0.35539747E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32844000E+01  0.35515994E+01  0.35515994E+01  0.35515994E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32981000E+01  0.35489584E+01  0.35489584E+01  0.35489584E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33119000E+01  0.35487807E+01  0.35487807E+01  0.35487807E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33256000E+01  0.35483420E+01  0.35483420E+01  0.35483420E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33394000E+01  0.35504653E+01  0.35504653E+01  0.35504653E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33531000E+01  0.35522697E+01  0.35522697E+01  0.35522697E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33669000E+01  0.35565976E+01  0.35565976E+01  0.35565976E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
