#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 364  36
# Band-Index    1
   1.11939     -5.307026     0.410
   1.10931     -5.280688     0.410
   1.09922     -5.253789     0.410
   1.08914     -5.226267     0.410
   1.07905     -5.198159     0.412
   1.06897     -5.224311     0.000
   1.05888     -5.296238     0.000
   1.04880     -5.368507     0.000
   1.03872     -5.441117     0.000
   1.02863     -5.513910     0.000
   1.01855     -5.587195     0.000
   1.00846     -5.660428     0.000
   0.99838     -5.733643     0.000
   0.98829     -5.807107     0.000
   0.97821     -5.880679     0.000
   0.96812     -5.954321     0.000
   0.95804     -6.028037     0.000
   0.94795     -6.101728     0.000
   0.93787     -6.175351     0.000
   0.92778     -6.249090     0.000
   0.91770     -6.322801     0.000
   0.90762     -6.395932     0.000
   0.89753     -6.469554     0.000
   0.88745     -6.543233     0.000
   0.87736     -6.616690     0.000
   0.86728     -6.689904     0.000
   0.85719     -6.763293     0.000
   0.84711     -6.836454     0.000
   0.83702     -6.909361     0.000
   0.82694     -6.982003     0.000
   0.81685     -7.054596     0.000
   0.80677     -7.126971     0.000
   0.79668     -7.199043     0.000
   0.78660     -7.270998     0.000
   0.77652     -7.342735     0.000
   0.76643     -7.414257     0.000
   0.75635     -7.485519     0.000
   0.74626     -7.556407     0.000
   0.73618     -7.627083     0.000
   0.72609     -7.697523     0.000
   0.71601     -7.767703     0.000
   0.70592     -7.837620     0.000
   0.69584     -7.907247     0.000
   0.68575     -7.976599     0.000
   0.67567     -8.045606     0.000
   0.66558     -8.114373     0.000
   0.65550     -8.182671     0.000
   0.64542     -8.250719     0.000
   0.63533     -8.318419     0.000
   0.62525     -8.385772     0.000
   0.61516     -8.452765     0.000
   0.60508     -8.519520     0.000
   0.59499     -8.585823     0.000
   0.58491     -8.651757     0.000
   0.57482     -8.717288     0.000
   0.56474     -8.782467     0.000
   0.55465     -8.847272     0.000
   0.54457     -8.911754     0.000
   0.53448     -8.975787     0.000
   0.52440     -9.039426     0.000
   0.51432     -9.102669     0.000
   0.50423     -9.165489     0.000
   0.49415     -9.227877     0.000
   0.48406     -9.289923     0.000
   0.47398     -9.351594     0.000
   0.46389     -9.412792     0.000
   0.45381     -9.473585     0.000
   0.44372     -9.533967     0.000
   0.43364     -9.593888     0.000
   0.42355     -9.653400     0.000
   0.41347     -9.712507     0.000
   0.40338     -9.771202     0.000
   0.39330     -9.829411     0.000
   0.38322     -9.887179     0.000
   0.37313     -9.944499     0.000
   0.36305    -10.001378     0.000
   0.35296    -10.057782     0.000
   0.34288    -10.113754     0.000
   0.33279    -10.169291     0.000
   0.32271    -10.224407     0.000
   0.31262    -10.279034     0.000
   0.30254    -10.333194     0.000
   0.29245    -10.386889     0.000
   0.28237    -10.440130     0.000
   0.27228    -10.492914     0.000
   0.26220    -10.545232     0.000
   0.25212    -10.597082     0.000
   0.24203    -10.648491     0.000
   0.23195    -10.699399     0.000
   0.22186    -10.749842     0.000
   0.21178    -10.799768     0.000
   0.20169    -10.849258     0.000
   0.19161    -10.898254     0.000
   0.18152    -10.946788     0.000
   0.17144    -10.994841     0.000
   0.16135    -11.042414     0.000
   0.15127    -11.089530     0.000
   0.14118    -11.136130     0.000
   0.13110    -11.182248     0.000
   0.12102    -11.227900     0.000
   0.11093    -11.273076     0.000
   0.10085    -11.317739     0.000
   0.09076    -11.361879     0.000
   0.08068    -11.405532     0.000
   0.07059    -11.448720     0.000
   0.06051    -11.491419     0.000
   0.05042    -11.533637     0.000
   0.04034    -11.575345     0.000
   0.03025    -11.616552     0.000
   0.02017    -11.657256     0.000
   0.01008    -11.697473     0.000
   0.00000    -11.737181     0.000
 
# Band-Index    3
   0.00000     -8.602160     0.000
   0.01008     -8.601028     0.000
   0.02017     -8.597655     0.000
   0.03025     -8.592189     0.000
   0.04034     -8.584665     0.000
   0.05042     -8.575074     0.000
   0.06051     -8.563445     0.000
   0.07059     -8.549966     0.000
   0.08068     -8.534787     0.000
   0.09076     -8.517903     0.000
   0.10085     -8.499406     0.000
   0.11093     -8.479263     0.000
   0.12102     -8.457608     0.000
   0.13110     -8.434469     0.000
   0.14118     -8.410150     0.000
   0.15127     -8.384443     0.000
   0.16135     -8.357330     0.000
   0.17144     -8.329119     0.000
   0.18152     -8.299751     0.000
   0.19161     -8.269273     0.000
   0.20169     -8.237823     0.000
   0.21178     -8.205277     0.000
   0.22186     -8.171799     0.000
   0.23195     -8.137322     0.000
   0.24203     -8.102085     0.000
   0.25212     -8.065766     0.000
   0.26220     -8.028742     0.000
   0.27228     -7.990925     0.000
   0.28237     -7.952361     0.000
   0.29245     -7.913088     0.000
   0.30254     -7.873087     0.000
   0.31262     -7.832400     0.000
   0.32271     -7.791063     0.000
   0.33279     -7.749005     0.000
   0.34288     -7.706441     0.000
   0.35296     -7.663347     0.000
   0.36305     -7.619720     0.000
   0.37313     -7.575496     0.000
   0.38322     -7.530750     0.000
   0.39330     -7.485499     0.000
   0.40338     -7.439763     0.000
   0.41347     -7.393448     0.000
   0.42355     -7.346811     0.000
   0.43364     -7.299713     0.000
   0.44372     -7.252251     0.000
   0.45381     -7.204324     0.000
   0.46389     -7.156002     0.000
   0.47398     -7.107442     0.000
   0.48406     -7.058395     0.000
   0.49415     -7.009213     0.000
   0.50423     -6.959637     0.000
   0.51432     -6.909775     0.000
   0.52440     -6.859588     0.000
   0.53448     -6.809158     0.000
   0.54457     -6.758474     0.000
   0.55465     -6.707450     0.000
   0.56474     -6.656336     0.000
   0.57482     -6.605027     0.000
   0.58491     -6.553637     0.000
   0.59499     -6.501846     0.000
   0.60508     -6.449955     0.000
   0.61516     -6.397742     0.000
   0.62525     -6.345588     0.000
   0.63533     -6.293358     0.000
   0.64542     -6.240934     0.000
   0.65550     -6.188369     0.000
   0.66558     -6.135716     0.000
   0.67567     -6.082941     0.000
   0.68575     -6.030192     0.000
   0.69584     -5.977398     0.000
   0.70592     -5.924585     0.000
   0.71601     -5.871788     0.000
   0.72609     -5.819014     0.000
   0.73618     -5.766360     0.000
   0.74626     -5.713666     0.000
   0.75635     -5.661112     0.000
   0.76643     -5.608366     0.000
   0.77652     -5.555808     0.000
   0.78660     -5.503340     0.000
   0.79668     -5.450984     0.000
   0.80677     -5.399025     0.000
   0.81685     -5.346956     0.000
   0.82694     -5.294882     0.000
   0.83702     -5.243278     0.000
   0.84711     -5.191747     0.000
   0.85719     -5.140299     0.000
   0.86728     -5.089004     0.000
   0.87736     -5.038246     0.000
   0.88745     -4.987551     0.000
   0.89753     -4.937041     0.000
   0.90762     -4.886989     0.000
   0.91770     -4.837518     0.000
   0.92778     -4.787971     0.000
   0.93787     -4.744250     0.418
   0.94795     -4.780270     0.416
   0.95804     -4.815781     0.416
   0.96812     -4.850750     0.416
   0.97821     -4.885159     0.416
   0.98829     -4.919093     0.414
   0.99838     -4.952449     0.414
   1.00846     -4.985175     0.414
   1.01855     -5.017336     0.414
   1.02863     -5.048922     0.414
   1.03872     -5.079942     0.412
   1.04880     -5.110377     0.412
   1.05888     -5.140260     0.412
   1.06897     -5.169539     0.412
   1.07905     -5.152548     0.000
   1.08914     -5.081144     0.000
   1.09922     -5.010336     0.000
   1.10931     -4.939638     0.000
   1.11939     -4.869494     0.000
   1.12948     -4.799967     0.000
   1.13956     -4.731080     0.000
   1.14965     -4.662498     0.000
   1.15973     -4.594437     0.000
   1.16981     -4.527305     0.000
   1.17990     -4.461007     0.000
   1.18998     -4.395393     0.000
   1.20007     -4.330435     0.000
   1.21015     -4.266274     0.000
   1.22024     -4.203086     0.000
   1.23032     -4.141217     0.000
   1.24041     -4.080034     0.000
   1.25049     -4.019750     0.000
   1.26058     -3.960721     0.000
   1.27066     -3.903226     0.000
   1.28075     -3.847016     0.000
   1.29083     -3.791883     0.000
   1.30091     -3.738151     0.000
   1.31100     -3.685885     0.000
