   #Energy      xx(%)           yy(%)
   8.560      0.9948E+02      0.9948E+02
   8.578      0.9948E+02      0.9948E+02
   8.597      0.9948E+02      0.9948E+02
   8.615      0.9949E+02      0.9949E+02
   8.633      0.9949E+02      0.9949E+02
   8.652      0.9949E+02      0.9949E+02
   8.670      0.9949E+02      0.9949E+02
   8.688      0.9949E+02      0.9949E+02
   8.706      0.9949E+02      0.9949E+02
   8.725      0.9950E+02      0.9950E+02
   8.743      0.9950E+02      0.9950E+02
   8.761      0.9950E+02      0.9950E+02
   8.780      0.9950E+02      0.9950E+02
   8.798      0.9950E+02      0.9950E+02
   8.816      0.9950E+02      0.9950E+02
   8.834      0.9950E+02      0.9950E+02
   8.853      0.9951E+02      0.9951E+02
   8.871      0.9951E+02      0.9951E+02
   8.889      0.9951E+02      0.9951E+02
   8.908      0.9951E+02      0.9951E+02
   8.926      0.9951E+02      0.9951E+02
   8.944      0.9951E+02      0.9951E+02
   8.962      0.9951E+02      0.9951E+02
   8.981      0.9951E+02      0.9951E+02
   8.999      0.9951E+02      0.9951E+02
   9.017      0.9952E+02      0.9952E+02
   9.036      0.9952E+02      0.9952E+02
   9.054      0.9952E+02      0.9952E+02
   9.072      0.9952E+02      0.9952E+02
   9.091      0.9952E+02      0.9952E+02
   9.109      0.9952E+02      0.9952E+02
   9.127      0.9952E+02      0.9952E+02
   9.145      0.9952E+02      0.9952E+02
   9.164      0.9952E+02      0.9952E+02
   9.182      0.9952E+02      0.9952E+02
   9.200      0.9952E+02      0.9952E+02
   9.219      0.9952E+02      0.9952E+02
   9.237      0.9952E+02      0.9952E+02
   9.255      0.9952E+02      0.9952E+02
   9.273      0.9952E+02      0.9952E+02
   9.292      0.9952E+02      0.9952E+02
   9.310      0.9952E+02      0.9952E+02
   9.328      0.9952E+02      0.9952E+02
   9.347      0.9952E+02      0.9952E+02
   9.365      0.9952E+02      0.9952E+02
   9.383      0.9952E+02      0.9952E+02
   9.401      0.9952E+02      0.9952E+02
   9.420      0.9952E+02      0.9952E+02
   9.438      0.9952E+02      0.9952E+02
   9.456      0.9952E+02      0.9952E+02
   9.475      0.9952E+02      0.9952E+02
   9.493      0.9952E+02      0.9952E+02
   9.511      0.9952E+02      0.9952E+02
   9.529      0.9952E+02      0.9952E+02
   9.548      0.9951E+02      0.9951E+02
   9.566      0.9951E+02      0.9951E+02
   9.584      0.9951E+02      0.9951E+02
   9.603      0.9951E+02      0.9951E+02
   9.621      0.9951E+02      0.9951E+02
   9.639      0.9951E+02      0.9951E+02
   9.658      0.9951E+02      0.9951E+02
   9.676      0.9951E+02      0.9951E+02
   9.694      0.9950E+02      0.9950E+02
   9.712      0.9950E+02      0.9950E+02
   9.731      0.9950E+02      0.9950E+02
   9.749      0.9950E+02      0.9950E+02
   9.767      0.9950E+02      0.9950E+02
